,model,task,num_modes,num_epochs,lr,step_size,batch_size,spl_quantile,seed,r2,loss,AUROC,AUPRC
33,1d_lstm_resnet34,regression,1,100,0.0001,15,64,,10,0.185843840105529,120.17725372314453,0.74,0.88
34,1d_lstm_resnet34,regression,1,100,0.0001,15,64,,1000,0.16767849380181102,122.85863494873047,0.75,0.89
35,1d_lstm_resnet34,regression,1,100,0.0001,15,64,,100,0.155265903395632,124.69084930419922,0.73,0.88
36,1d_lstm_resnet34,regression,1,100,0.0001,15,64,,0,0.16113918954325201,123.82390594482422,0.73,0.89
37,1d_lstm_resnet34,regression,1,100,0.0001,15,64,,10000,0.15196821094475502,125.17761993408203,0.74,0.89
147,1d_lstm_resnet34,classification,1,100,0.0001,15,64,,10,,0.549635529518127,0.54,0.8
148,1d_lstm_resnet34,classification,1,100,0.0001,15,64,,1000,,0.5489068031311031,0.58,0.81
149,1d_lstm_resnet34,classification,1,100,0.0001,15,64,,100,,0.551287949085235,0.55,0.79
150,1d_lstm_resnet34,classification,1,100,0.0001,15,64,,0,,0.5491619110107421,0.55,0.8
151,1d_lstm_resnet34,classification,1,100,0.0001,15,64,,10000,,0.55062586069107,0.54,0.8
28,1d_lstm_resnet34,regression,2,100,0.0001,15,64,,10,0.251577365924545,110.47434997558594,0.78,0.91
29,1d_lstm_resnet34,regression,2,100,0.0001,15,64,,1000,0.247409478947956,111.0895767211914,0.77,0.91
30,1d_lstm_resnet34,regression,2,100,0.0001,15,64,,100,0.266599503622245,108.25694274902344,0.76,0.89
31,1d_lstm_resnet34,regression,2,100,0.0001,15,64,,0,0.220115515825715,115.11841583251953,0.78,0.91
32,1d_lstm_resnet34,regression,2,100,0.0001,15,64,,10000,0.23142057557033902,113.44969940185547,0.75,0.89
142,1d_lstm_resnet34,classification,2,100,0.0001,15,64,,10,,0.55008977651596,0.56,0.8
143,1d_lstm_resnet34,classification,2,100,0.0001,15,64,,1000,,0.549537122249603,0.55,0.8
144,1d_lstm_resnet34,classification,2,100,0.0001,15,64,,100,,0.5456220507621761,0.6000000000000001,0.81
145,1d_lstm_resnet34,classification,2,100,0.0001,15,64,,0,,0.549135744571685,0.5700000000000001,0.81
146,1d_lstm_resnet34,classification,2,100,0.0001,15,64,,10000,,0.543995380401611,0.6000000000000001,0.81
43,1d_lstm_resnet34,regression,4,100,0.0001,15,64,,10,0.32323236878585704,99.89739227294922,0.77,0.9
44,1d_lstm_resnet34,regression,4,100,0.0001,15,64,,1000,0.309636330315714,101.90430450439453,0.8,0.92
45,1d_lstm_resnet34,regression,4,100,0.0001,15,64,,100,0.35441077293823003,95.295166015625,0.79,0.91
46,1d_lstm_resnet34,regression,4,100,0.0001,15,64,,0,0.31489964084528904,101.12738800048828,0.78,0.9
47,1d_lstm_resnet34,regression,4,100,0.0001,15,64,,10000,0.30245854935201705,102.96381378173828,0.79,0.92
157,1d_lstm_resnet34,classification,4,100,0.0001,15,64,,10,,0.5439930558204651,0.6000000000000001,0.81
158,1d_lstm_resnet34,classification,4,100,0.0001,15,64,,1000,,0.537807583808898,0.61,0.8200000000000001
159,1d_lstm_resnet34,classification,4,100,0.0001,15,64,,100,,0.525834143161773,0.66,0.84
160,1d_lstm_resnet34,classification,4,100,0.0001,15,64,,0,,0.5348432660102841,0.63,0.8300000000000001
161,1d_lstm_resnet34,classification,4,100,0.0001,15,64,,10000,,0.540854275226593,0.62,0.8200000000000001
48,1d_lstm_resnet34,regression,8,100,0.0001,15,64,,10,0.44563269612120504,81.8299331665039,0.84,0.9400000000000001
49,1d_lstm_resnet34,regression,8,100,0.0001,15,64,,1000,0.422662122396502,85.2206039428711,0.81,0.92
50,1d_lstm_resnet34,regression,8,100,0.0001,15,64,,100,0.47250687238081,77.86304473876953,0.84,0.93
51,1d_lstm_resnet34,regression,8,100,0.0001,15,64,,0,0.409139703136965,87.21664428710938,0.8200000000000001,0.93
52,1d_lstm_resnet34,regression,8,100,0.0001,15,64,,10000,0.492146139824762,74.96409606933594,0.84,0.9400000000000001
162,1d_lstm_resnet34,classification,8,100,0.0001,15,64,,10,,0.5254331827163691,0.64,0.8300000000000001
163,1d_lstm_resnet34,classification,8,100,0.0001,15,64,,1000,,0.523892104625701,0.66,0.85
164,1d_lstm_resnet34,classification,8,100,0.0001,15,64,,100,,0.5284041762351991,0.65,0.8300000000000001
165,1d_lstm_resnet34,classification,8,100,0.0001,15,64,,0,,0.51312232017517,0.6900000000000001,0.85
166,1d_lstm_resnet34,classification,8,100,0.0001,15,64,,10000,,0.5189135074615471,0.67,0.84
38,1d_lstm_resnet34,regression,16,100,0.0001,15,64,,10,0.49941014040602505,73.8918685913086,0.84,0.9400000000000001
39,1d_lstm_resnet34,regression,16,100,0.0001,15,64,,1000,0.487514591606975,75.64776611328125,0.85,0.9400000000000001
40,1d_lstm_resnet34,regression,16,100,0.0001,15,64,,100,0.49729451706846406,74.20415496826172,0.85,0.9400000000000001
41,1d_lstm_resnet34,regression,16,100,0.0001,15,64,,0,0.48733141047063705,75.67479705810547,0.84,0.9400000000000001
