,model,task,num_modes,num_epochs,lr,step_size,batch_size,spl_quantile,seed,r2,loss,AUROC,AUPRC
32,1d_lstm_resnet34,regression,1,25,0.0001,15,64,,10,-0.239816992491883,199.417724609375,0.68,0.85
33,1d_lstm_resnet34,regression,1,25,0.0001,15,64,,1000,-0.267149308828728,203.81399536132812,0.64,0.81
34,1d_lstm_resnet34,regression,1,25,0.0001,15,64,,100,-0.18748487888381501,191.00039672851562,0.68,0.85
35,1d_lstm_resnet34,regression,1,25,0.0001,15,64,,0,-0.247635563242938,200.67532348632812,0.65,0.8300000000000001
36,1d_lstm_resnet34,regression,1,25,0.0001,15,64,,10000,-0.29037196302982005,207.54922485351562,0.64,0.84
151,1d_lstm_resnet34,classification,1,25,0.0001,15,64,,10,,0.5759342312812801,0.54,0.78
152,1d_lstm_resnet34,classification,1,25,0.0001,15,64,,1000,,0.5800979733467101,0.53,0.77
153,1d_lstm_resnet34,classification,1,25,0.0001,15,64,,100,,0.582918345928192,0.52,0.78
154,1d_lstm_resnet34,classification,1,25,0.0001,15,64,,0,,0.571945428848266,0.56,0.79
155,1d_lstm_resnet34,classification,1,25,0.0001,15,64,,10000,,0.566097199916839,0.59,0.79
27,1d_lstm_resnet34,regression,2,25,0.0001,15,64,,10,-0.18254048717988702,190.20513916015625,0.68,0.85
28,1d_lstm_resnet34,regression,2,25,0.0001,15,64,,1000,-0.286058405972468,206.85540771484375,0.66,0.84
29,1d_lstm_resnet34,regression,2,25,0.0001,15,64,,100,-0.12830574871841202,181.4817657470703,0.68,0.85
30,1d_lstm_resnet34,regression,2,25,0.0001,15,64,,0,-0.051142149705049,169.07041931152344,0.68,0.85
31,1d_lstm_resnet34,regression,2,25,0.0001,15,64,,10000,-0.105825377321208,177.8659210205078,0.68,0.85
146,1d_lstm_resnet34,classification,2,25,0.0001,15,64,,10,,0.58095633983612,0.56,0.81
147,1d_lstm_resnet34,classification,2,25,0.0001,15,64,,1000,,0.600784540176391,0.61,0.81
148,1d_lstm_resnet34,classification,2,25,0.0001,15,64,,100,,0.5735310912132261,0.5700000000000001,0.79
149,1d_lstm_resnet34,classification,2,25,0.0001,15,64,,0,,0.5691624879837031,0.52,0.74
150,1d_lstm_resnet34,classification,2,25,0.0001,15,64,,10000,,0.561559617519378,0.6000000000000001,0.79
42,1d_lstm_resnet34,regression,4,25,0.0001,15,64,,10,-0.123167269978597,180.6552734375,0.6900000000000001,0.85
43,1d_lstm_resnet34,regression,4,25,0.0001,15,64,,1000,-0.044472229959767004,167.9976043701172,0.71,0.87
44,1d_lstm_resnet34,regression,4,25,0.0001,15,64,,100,-0.153564837807893,185.54454040527344,0.6900000000000001,0.86
45,1d_lstm_resnet34,regression,4,25,0.0001,15,64,,0,-0.152933948389605,185.4430694580078,0.7000000000000001,0.87
46,1d_lstm_resnet34,regression,4,25,0.0001,15,64,,10000,-0.034452263947143,166.38595581054688,0.71,0.86
161,1d_lstm_resnet34,classification,4,25,0.0001,15,64,,10,,0.575793325901031,0.5700000000000001,0.76
162,1d_lstm_resnet34,classification,4,25,0.0001,15,64,,1000,,0.5627032518386841,0.62,0.8200000000000001
163,1d_lstm_resnet34,classification,4,25,0.0001,15,64,,100,,0.574809432029724,0.6000000000000001,0.8
164,1d_lstm_resnet34,classification,4,25,0.0001,15,64,,0,,0.566974282264709,0.59,0.78
165,1d_lstm_resnet34,classification,4,25,0.0001,15,64,,10000,,0.585407137870788,0.49,0.72
47,1d_lstm_resnet34,regression,8,25,0.0001,15,64,,10,-0.27468551418434,205.026123046875,0.71,0.87
48,1d_lstm_resnet34,regression,8,25,0.0001,15,64,,1000,-0.160138482409578,186.6018829345703,0.6900000000000001,0.87
49,1d_lstm_resnet34,regression,8,25,0.0001,15,64,,100,-0.11665704570837901,179.60813903808594,0.71,0.87
50,1d_lstm_resnet34,regression,8,25,0.0001,15,64,,0,-0.0802511478814,173.75245666503906,0.74,0.87
51,1d_lstm_resnet34,regression,8,25,0.0001,15,64,,10000,-0.154679599246485,185.72384643554688,0.73,0.88
166,1d_lstm_resnet34,classification,8,25,0.0001,15,64,,10,,0.550097942352294,0.64,0.8300000000000001
167,1d_lstm_resnet34,classification,8,25,0.0001,15,64,,1000,,0.5635104775428771,0.63,0.8300000000000001
168,1d_lstm_resnet34,classification,8,25,0.0001,15,64,,100,,0.5645875334739681,0.59,0.79
169,1d_lstm_resnet34,classification,8,25,0.0001,15,64,,0,,0.565106511116027,0.6000000000000001,0.8
170,1d_lstm_resnet34,classification,8,25,0.0001,15,64,,10000,,0.5510036349296571,0.65,0.84
37,1d_lstm_resnet34,regression,16,25,0.0001,15,64,,10,-0.16667516572530702,187.6532745361328,0.73,0.88
38,1d_lstm_resnet34,regression,16,25,0.0001,15,64,,1000,-0.208264102357744,194.34262084960938,0.7000000000000001,0.87
39,1d_lstm_resnet34,regression,16,25,0.0001,15,64,,100,-0.228427099017138,197.5857391357422,0.74,0.88
40,1d_lstm_resnet34,regression,16,25,0.0001,15,64,,0,-0.09873749766769001,176.72589111328125,0.72,0.88
41,1d_lstm_resnet34,regression,16,25,0.0001,15,64,,10000,-0.05176001759124801,169.16981506347656,0.75,0.87
156,1d_lstm_resnet34,classification,16,25,0.0001,15,64,,10,,0.5529901981353761,0.64,0.8300000000000001
157,1d_lstm_resnet34,classification,16,25,0.0001,15,64,,1000,,0.5452776551246641,0.65,0.84
158,1d_lstm_resnet34,classification,16,25,0.0001,15,64,,100,,0.562896013259887,0.63,0.8200000000000001
159,1d_lstm_resnet34,classification,16,25,0.0001,15,64,,0,,0.553186178207397,0.64,0.8300000000000001
160,1d_lstm_resnet34,classification,16,25,0.0001,15,64,,10000,,0.5601311326026911,0.63,0.8300000000000001
